cve_periodo,cve_periodo_alta,dat_fecha_disposicion,dat_fecha_vencimiento,dat_monto_credito_dispuesto,dat_responsabilidad_total,dat_saldo_princ_inicio,dat_saldo_princ_fin,dat_monto_pago_exigible_acred,dat_monto_pagado_efec_acred,dat_monto_intereses_pagados,dat_tasa_bruta_periodo,dat_num_vencidos,cve_situacion_credito,id_disposicion,ventana
200910,200908,200908,201208,0,2021767,1995852,1907692,115191,135168,46281,15.65,0,1,304007220050CI020220LP0000_342,-4
200911,200908,200908,201208,0,1913497,1907692,1862747,51579,70653,25709,15.65,0,1,304007220050CI020220LP0000_342,-3
200912,200908,200908,201208,0,1867606,1862747,1817217,51199,69824,24293,15.65,0,1,304007220050CI020220LP0000_342,-2
201001,200908,200908,201208,0,1822747,1817217,1771092,52444,70614,24490,15.65,0,1,304007220050CI020220LP0000_342,-1
201002,200908,200908,201208,0,1776482,1771092,1724367,52885,70594,23868,15.65,0,1,304007220050CI020220LP0000_342,0
201003,200908,200908,201208,0,1727365,1724367,1677031,51083,68325,20989,15.65,0,1,304007220050CI020220LP0000_342,1
201004,200908,200908,201208,0,1682135,1677031,1629079,53535,70579,21746,15.65,0,1,304007220050CI020220LP0000_342,2
201005,200908,200908,201208,0,1633328,1629079,1582723,56946,67602,21806,15.65,7,1,304007220050CI020220LP0000_342,3
201006,200908,200908,201208,0,1587532,1582723,1531289,54513,72748,20484,15.65,0,1,304007220050CI020220LP0000_342,4
201007,200908,200908,201208,0,1535283,1531289,1481436,55656,69824,20485,15.65,0,1,304007220050CI020220LP0000_342,5
201008,200908,200908,201208,0,1485944,1481436,1430933,56139,70468,19811,15.65,0,1,304007220050CI020220LP0000_342,6
201009,200908,200908,201208,0,1435287,1430933,1379770,56028,70446,18528,15.65,0,1,304007220050CI020220LP0000_342,7
201010,200908,200908,201208,0,1383369,1379770,1327941,57124,69840,18437,15.65,0,1,304007220050CI020220LP0000_342,8
201011,200908,200908,201208,0,1331982,1327941,1275436,57071,70401,17182,15.65,0,1,304007220050CI020220LP0000_342,9
201012,200908,200908,201208,0,1278763,1275436,1222246,58134,70101,17026,15.65,0,1,304007220050CI020220LP0000_342,10
201101,200908,200908,201208,0,1225965,1222246,1168362,58650,70355,16307,15.65,0,1,304007220050CI020220LP0000_342,11
201102,200908,200908,201208,0,1171917,1168362,1113776,57719,70332,14127,15.65,0,1,304007220050CI020220LP0000_342,12
201103,200908,200908,201208,0,1115712,1113776,1058477,59701,68855,14841,15.65,0,1,304007220050CI020220LP0000_342,13
201104,200908,200908,201208,0,1061698,1058477,1002458,59801,70413,13658,15.65,0,1,304007220050CI020220LP0000_342,14
201105,200908,200908,201208,0,1005072,1002458,945708,60779,69889,13337,15.65,0,1,304007220050CI020220LP0000_342,15
201106,200908,200908,201208,0,948585,945708,888217,60943,70367,12184,15.65,0,1,304007220050CI020220LP0000_342,16
201107,200908,200908,201208,0,890534,888217,868223,100398,31578,11793,15.65,6,1,304007220050CI020220LP0000_342,17
201108,200908,200908,201208,0,870749,868223,809674,101416,70000,11006,15.65,7,1,304007220050CI020220LP0000_342,18
201110,200908,200908,201208,0,812021,721199,650660,63601,79814,9400,15.65,0,1,304007220050CI020220LP0000_342,20
201111,200908,200908,201208,0,652640,650660,639678,114594,19751,8326,15.65,6,1,304007220050CI020220LP0000_342,21
201112,200908,200908,201208,0,641215,639678,527184,64782,120179,7753,15.65,0,1,304007220050CI020220LP0000_342,22
201201,200908,200908,201208,0,528788,527184,464235,65384,70081,6913,15.65,0,1,304007220050CI020220LP0000_342,23
201202,200908,200908,201208,0,465648,464235,464235,136004,0,5714,15.65,5,1,304007220050CI020220LP0000_342,24
201203,200908,200908,201208,0,471362,464235,335865,66612,140555,5200,15.65,0,1,304007220050CI020220LP0000_342,25
201204,200908,200908,201208,0,336887,335865,270421,70507,69977,4210,15.65,0,1,304007220050CI020220LP0000_342,26
201205,200908,200908,201208,0,271127,270421,204124,70604,69824,3443,15.65,0,1,304007220050CI020220LP0000_342,27
201206,200908,200908,201208,0,204745,204124,136962,70525,69913,2751,15.65,0,1,304007220050CI020220LP0000_342,28
201207,200908,200908,201208,0,137320,136962,131109,133328,7639,1786,15.65,7,1,304007220050CI020220LP0000_342,29
201208,200908,200908,201208,0,131319,131109,53120,54418,80000,929,15.65,7,1,304007220050CI020220LP0000_342,30
201209,200908,200908,201208,0,53120,53120,0,54551,54551,0,15.65,0,1,304007220050CI020220LP0000_342,31
200909,200908,200908,201208,3000000,3000000,3000000,2916667,84199,96320,12987,10.39,0,1,304007220050CA990315TCA000_342,-5
200910,200908,200908,201208,0,2929302,2916667,2833334,96810,108602,25269,10.4,0,1,304007220050CA990315TCA000_342,-4
200911,200908,200908,201208,0,2846462,2833334,2750001,97282,108769,25436,10.43,0,1,304007220050CA990315TCA000_342,-3
200912,200908,200908,201208,0,2761948,2750001,2666668,96076,107227,23894,10.43,0,1,304007220050CA990315TCA000_342,-2
201001,200908,200908,201208,0,2679034,2666668,2583335,96472,107293,23960,10.43,0,1,304007220050CA990315TCA000_342,-1
201002,200908,200908,201208,0,2595302,2583335,2500002,96048,106519,23186,10.4,0,1,304007220050CA990315TCA000_342,0
201003,200908,200908,201208,0,2509387,2500002,2416669,93440,103547,20214,10.43,0,1,304007220050CA990315TCA000_342,1
201004,200908,200908,201208,0,2427870,2416669,2333336,94144,105038,20638,10.42,0,1,304007220050CA990315TCA000_342,2
201005,200908,200908,201208,0,2343471,2333336,2250003,94425,103603,20575,10.44,0,1,304007220050CA990315TCA000_342,3
201006,200908,200908,201208,0,2260443,2250003,2166670,93390,103562,19218,10.44,0,1,304007220050CA990315TCA000_342,4
201007,200908,200908,201208,0,2176099,2166670,2083337,93597,102190,19089,10.43,0,1,304007220050CA990315TCA000_342,5
